,Call  Failure,Complains,Subscription  Length,Charge  Amount,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Customer Value,Churn,Average of use
0,8,0,38,0,5,17,3,1,1,197.64,0,1.0258215962441315
1,0,0,39,0,7,4,2,1,2,46.035,0,1.06
2,10,0,37,0,359,24,3,1,1,1536.52,0,0.6813888888888889
3,10,0,38,0,1,35,1,1,1,240.02,0,1.0601010101010102
4,3,0,38,0,2,33,1,1,1,145.805,0,0.6876436781609195
5,11,0,38,1,32,28,3,1,1,282.28,0,0.7672764227642276
6,4,0,38,0,285,18,3,1,1,1235.96,0,1.0085470085470085
7,13,0,37,2,144,43,3,1,1,945.44,0,1.255509641873278
8,7,0,38,0,0,44,3,1,1,557.68,0,1.358284023668639
9,7,0,38,1,2,25,3,1,1,191.92,0,0.9066265060240963
10,6,0,38,0,7,12,3,1,1,268.52,0,1.0382456140350877
11,9,0,38,0,8,17,3,1,2,123.68,0,0.6907407407407407
12,25,0,38,3,54,32,3,1,1,830.6,0,1.1214814814814815
13,4,0,38,1,483,8,3,1,1,2056.88,0,1.9104938271604939
14,9,0,37,0,150,30,2,1,1,1380.015,0,1.4180402930402929
15,3,0,37,1,186,26,3,1,1,1007.44,0,1.2596899224806202
16,0,0,37,0,0,11,2,1,2,40.005,1,1.0416666666666667
17,2,0,38,0,13,8,3,1,2,80.96,0,0.8452380952380952
18,0,0,37,0,0,0,2,1,2,0.0,1,0.0
19,3,0,37,0,384,43,2,1,1,2071.575,0,0.9853018372703413
20,7,0,37,1,11,47,4,1,1,317.975,0,1.2408008658008658
21,8,0,37,1,108,37,2,1,1,791.685,0,1.492888888888889
22,23,1,33,0,16,17,2,1,2,117.09,1,0.3386524822695035
23,21,1,36,8,1,42,5,2,1,159.42,0,1.8700716845878136
24,13,1,36,1,26,24,2,1,1,383.22,1,0.9894557823129252
25,1,0,34,0,0,14,3,1,1,114.48,0,2.151515151515152
26,9,0,35,0,9,16,3,1,2,157.24,1,1.2154471544715448
27,9,1,36,0,34,31,3,1,2,228.48,1,0.859090909090909
28,0,0,36,0,0,2,3,1,2,5.4,1,1.1083333333333334
29,1,0,36,0,0,6,3,1,1,67.72,0,1.112
30,3,0,33,1,14,22,5,1,1,124.23,0,1.165807560137457
31,0,1,36,0,9,4,4,1,2,38.375,1,1.4952380952380953
32,0,0,36,1,4,2,5,1,1,11.13,0,1.4083333333333334
33,25,0,31,3,0,80,2,2,1,734.085,0,1.1257002801120448
34,6,0,34,3,271,33,2,2,1,1538.145,0,1.0007183908045976
35,2,0,36,0,2,28,2,1,1,180.0,0,0.7556910569105691
36,3,0,35,0,38,20,3,1,2,220.36,0,0.6306818181818182
37,6,0,36,0,175,23,2,1,1,914.985,0,0.8742138364779874
38,4,0,27,1,193,11,2,2,1,929.295,0,0.6087962962962963
39,4,0,26,0,30,68,4,1,1,115.175,0,0.67008547008547
40,11,0,27,0,10,7,2,1,2,77.625,0,0.4666666666666666
41,0,0,26,0,21,3,4,1,2,73.375,1,1.375
42,10,0,25,0,19,13,2,1,1,142.065,0,0.6380208333333334
43,2,0,25,0,8,23,3,1,1,163.44,0,0.8811475409836066
44,2,0,18,0,28,14,2,1,1,203.445,0,1.0865384615384615
45,16,0,17,1,85,42,2,2,1,676.53,0,0.7556737588652482
46,12,0,15,0,73,40,4,1,1,410.1,0,0.870662768031189
47,8,0,16,3,31,19,3,2,1,239.92,0,1.0566666666666666
48,2,0,9,1,215,10,3,1,1,1037.2,0,1.8291666666666668
49,3,0,9,1,0,7,3,1,1,60.28,1,1.305263157894737
50,11,0,40,1,10,19,3,1,1,220.16,0,0.9977477477477477
51,3,0,41,1,12,6,3,1,1,63.44,0,0.7875
