Call  Failure,Complains,Subscription  Length,Charge  Amount,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Customer Value,Churn,Average of use,cluster
0,0,37,0,0,11,2,1,2,40.005,1,0.713766467762681,1
0,0,37,0,0,0,2,1,2,0.0,1,0.0,1
23,1,33,0,16,17,2,1,2,117.09,1,0.2916634977509658,0
13,1,36,1,26,24,2,1,1,383.22,1,0.6878611251102985,3
9,0,35,0,9,16,3,1,2,157.24,1,0.7954542587308813,0
9,1,36,0,34,31,3,1,2,228.48,1,0.6200876096904402,3
0,0,36,0,0,2,3,1,2,5.4,1,0.7458977459454743,1
0,1,36,0,9,4,4,1,2,38.375,1,0.9143841536035735,1
0,0,26,0,21,3,4,1,2,73.375,1,0.8649974374866045,1
3,0,9,1,0,7,3,1,1,60.28,1,0.83519483821596,1
3,1,39,1,5,2,2,1,1,25.335,1,0.2876820724517809,1
26,1,35,1,21,19,3,1,1,126.6,1,0.29142505873061536,0
12,0,37,1,14,18,3,1,1,179.76,1,0.7679313309800148,0
12,1,38,1,39,33,3,1,1,251.0,1,0.6018714047838579,3
3,0,38,1,5,4,3,1,1,27.92,1,0.49672669938648906,1
3,0,38,1,14,6,4,1,1,52.45,1,0.7639162514481526,1
6,1,11,2,5,9,3,1,1,82.8,1,0.7759831861390944,1
0,0,35,0,0,0,2,1,2,0.0,1,0.0,1
20,0,31,0,11,15,2,1,2,91.755,1,0.29193438219031126,1
10,0,34,0,21,22,2,1,1,357.885,1,0.6982220011458816,3
6,0,33,0,4,14,2,1,2,151.56,1,0.8264044127989262,0
6,1,34,0,29,29,3,1,2,205.96,1,0.6405693644800381,0
0,1,34,0,0,0,3,1,2,0.0,1,0.0,1
0,0,34,0,4,2,4,1,2,24.3,1,1.213923135179104,1
0,1,24,0,16,1,4,1,2,59.3,1,1.0372433422918175,1
0,0,7,0,0,5,3,1,1,57.76,1,0.9112781900506108,1
1,1,43,0,17,8,3,1,2,84.2,1,0.666607625325333,1
1,0,41,0,10,4,2,1,2,48.69,1,0.5108256237659907,1
24,1,37,0,26,21,3,1,2,147.36,1,0.30161516675570493,0
14,0,40,2,36,28,2,1,1,431.91,1,0.6846108495376588,3
10,0,39,0,19,20,3,1,2,200.52,1,0.7838661462248234,0
10,1,40,0,44,35,3,1,2,271.76,1,0.6155772584412341,3
1,0,40,0,10,6,3,1,2,48.68,1,0.6352532021410426,1
1,1,40,0,19,8,4,1,2,65.425,1,0.837728409371053,1
4,0,13,2,10,11,3,1,1,103.56,1,0.8084580270709397,0
0,0,33,0,0,0,2,1,2,0.0,1,0.0,1
22,0,29,0,6,13,2,1,2,68.4,1,0.2807134031356876,1
12,1,32,0,16,20,2,1,1,334.53,1,0.6912356324932993,3
8,1,31,0,0,12,3,1,2,117.96,1,0.8080771472339223,0
8,0,32,0,24,27,3,1,2,185.2,1,0.6250042878746983,0
0,1,32,0,0,0,3,1,2,0.0,1,0.0,1
0,0,32,0,0,0,4,1,2,0.0,1,0.0,1
2,0,5,0,0,3,3,1,1,57.0,1,0.8672652459010721,1
5,0,43,0,15,6,2,1,2,79.65,1,0.360002734031407,1
28,1,39,0,31,23,3,1,2,174.88,1,0.30399564794330464,0
14,1,41,0,24,22,3,1,2,228.04,1,0.7237207605888324,3
14,1,42,0,49,37,4,1,2,187.05,1,0.5767520701784099,0
5,0,42,0,15,8,3,1,2,76.2,1,0.4355631392654438,1
5,0,42,0,24,10,4,1,2,82.625,1,0.6262529457299151,1
8,1,15,2,15,13,3,1,1,131.08,1,0.6954433928202955,0
0,0,31,0,0,0,2,1,2,0.0,1,0.0,1
18,1,27,0,1,11,2,1,2,37.44,1,0.27236262391826765,1
8,1,30,0,11,18,2,1,1,303.57,1,0.7191323794257524,3
4,0,29,0,0,10,2,1,2,124.245,1,0.903303536347344,0
4,1,30,0,19,25,3,1,2,157.68,1,0.6852731241290394,0
0,0,30,0,0,0,3,1,2,0.0,1,0.0,1
0,1,30,0,0,0,4,1,2,0.0,1,0.0,1
0,1,30,0,0,0,5,1,1,0.0,1,0.0,1
0,1,3,0,0,1,2,1,1,55.665,1,1.1860351036392685,1
2,0,40,0,11,5,2,1,2,57.96,1,0.3184537311185346,1
25,1,36,0,27,22,2,1,2,175.05,1,0.29560514728910825,0
11,1,38,0,20,21,3,1,2,208.76,1,0.7315171918329137,0
11,1,39,0,45,36,3,1,2,280.0,1,0.5792029212107276,3
2,1,39,0,11,7,3,1,2,56.92,1,0.4198062253788221,1
2,0,39,0,20,9,4,1,2,70.575,1,0.6406836110242045,1
6,1,30,1,204,16,2,2,1,987.255,1,0.44870841131742983,2
5,0,12,1,11,12,3,1,1,111.8,1,0.7078533279496408,0
0,1,34,0,0,0,2,1,2,0.0,1,0.0,1
21,1,30,0,5,12,2,1,2,59.13,1,0.2860782228698064,1
11,1,33,1,15,19,2,1,1,325.26,1,0.7149449114470808,3
7,0,32,0,0,11,3,1,2,113.72,1,0.8834335667163801,0
7,1,33,0,23,26,3,1,2,176.96,1,0.676340062243564,0
0,0,33,0,0,0,3,1,2,0.0,1,0.0,1
0,0,33,0,0,0,4,1,2,0.0,1,0.0,1
1,0,6,1,0,2,3,1,1,52.76,1,1.0925332425917276,1
