Call  Failure,Complains,Subscription  Length,Charge  Amount,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Customer Value,Churn,Average of use,cluster
8,0,38,0,5,17,3,1,1,197.64,0,0.7059753448140575,0
0,0,39,0,7,4,2,1,2,46.035,0,0.7227059828014898,0
10,0,37,0,359,24,3,1,1,1536.52,0,0.519620171447486,1
10,0,38,0,1,35,1,1,1,240.02,0,0.7227550156289776,0
3,0,38,0,2,33,1,1,1,145.805,0,0.5233332827539995,0
11,0,38,1,32,28,3,1,1,282.28,0,0.5694396173020296,0
4,0,38,0,285,18,3,1,1,1235.96,0,0.6974115793464029,1
13,0,37,2,144,43,3,1,1,945.44,0,0.8133759526846108,3
7,0,38,0,0,44,3,1,1,557.68,0,0.8579342459508588,3
7,0,38,1,2,25,3,1,1,191.92,0,0.6453354532276876,0
6,0,38,0,7,12,3,1,1,268.52,0,0.7120894447298363,0
9,0,38,0,8,17,3,1,2,123.68,0,0.5251667410366484,0
25,0,38,3,54,32,3,1,1,830.6,0,0.7521146566480611,3
4,0,38,1,483,8,3,1,1,2056.88,0,1.0683227668411281,2
9,0,37,0,150,30,2,1,1,1380.015,0,0.8829574158421374,1
3,0,37,1,186,26,3,1,1,1007.44,0,0.815227601428875,3
2,0,38,0,13,8,3,1,2,80.96,0,0.612608318075933,0
3,0,37,0,384,43,2,1,1,2071.575,0,0.6857709616576015,2
7,0,37,1,11,47,4,1,1,317.975,0,0.8068333313439378,0
8,0,37,1,108,37,2,1,1,791.685,0,0.9134422343098711,3
21,1,36,8,1,42,5,2,1,159.42,0,1.0543370066679019,0
1,0,34,0,0,14,3,1,1,114.48,0,1.1478833376748925,0
1,0,36,0,0,6,3,1,1,67.72,0,0.7476353658440151,0
3,0,33,1,14,22,5,1,1,124.23,0,0.7727932988965366,0
0,0,36,1,4,2,5,1,1,11.13,0,0.8789349453303862,0
25,0,31,3,0,80,2,2,1,734.085,0,0.7541012916709591,3
6,0,34,3,271,33,2,2,1,1538.145,0,0.6935063114670194,1
2,0,36,0,2,28,2,1,1,180.0,0,0.5628625440342926,0
3,0,35,0,38,20,3,1,2,220.36,0,0.48899822072146937,0
6,0,36,0,175,23,2,1,1,914.985,0,0.628189284285173,3
4,0,27,1,193,11,2,2,1,929.295,0,0.4754862573206818,3
4,0,26,0,30,68,4,1,1,115.175,0,0.5128748048109263,0
11,0,27,0,10,7,2,1,2,77.625,0,0.3829922522561058,0
10,0,25,0,19,13,2,1,1,142.065,0,0.4934887041127137,0
2,0,25,0,8,23,3,1,1,163.44,0,0.6318819847673433,0
2,0,18,0,28,14,2,1,1,203.445,0,0.7355064543990868,0
16,0,17,1,85,42,2,2,1,676.53,0,0.5628526914292638,3
12,0,15,0,73,40,4,1,1,410.1,0,0.6262927894811174,0
8,0,16,3,31,19,3,2,1,239.92,0,0.7210865492491867,0
2,0,9,1,215,10,3,1,1,1037.2,0,1.0399822042167048,3
11,0,40,1,10,19,3,1,1,220.16,0,0.6920204198773547,0
3,0,41,1,12,6,3,1,1,63.44,0,0.5808179955860256,0
13,0,39,1,364,26,3,1,1,1559.04,0,0.5097138949133002,1
13,0,40,1,6,37,1,1,1,270.985,0,0.7072977944247786,0
6,0,40,1,7,35,2,1,1,144.63,0,0.5129545036333134,0
14,0,40,2,37,30,3,2,1,304.8,0,0.5607356088811113,0
7,0,40,1,290,20,3,1,1,1258.48,0,0.6731064296764991,1
16,0,39,3,149,45,3,1,1,967.96,0,0.803435052961557,3
10,0,40,1,5,46,3,1,1,580.2,0,0.8503248359325367,3
10,0,40,2,7,27,3,1,1,214.44,0,0.6347910593306917,0
9,0,40,1,12,14,3,1,1,291.04,0,0.7014459833746405,0
12,0,40,1,13,19,3,1,1,146.2,0,0.5139785428256062,0
28,0,40,4,59,34,3,1,1,853.12,0,0.7472144018302211,3
7,0,40,2,488,10,3,1,1,2079.4,0,1.0126105028798322,2
12,0,39,1,155,32,2,1,1,1405.35,0,0.875656407430457,1
6,0,39,2,191,28,3,1,1,1029.96,0,0.8013127471453801,3
3,0,39,1,5,13,2,1,1,65.34,0,0.6505875661411494,0
5,0,40,1,18,10,3,1,1,103.48,0,0.5624129925564839,0
6,0,39,1,389,45,3,1,1,1863.92,0,0.6781636917707096,2
10,0,39,2,16,49,4,2,1,332.05,0,0.7990648658107266,0
11,0,39,2,113,39,2,1,1,817.02,0,0.8953900660568307,3
24,1,38,9,6,44,5,2,1,167.865,0,1.0374630790480686,0
16,0,38,2,31,26,2,1,1,408.555,0,0.678016789665235,0
4,0,36,1,5,16,3,1,1,137.0,0,1.0761394328160512,0
4,0,38,1,5,8,4,1,1,56.4,0,0.7073318155519018,0
6,0,35,2,19,24,5,1,1,132.675,0,0.761195161333792,0
3,0,38,2,9,4,5,1,1,19.575,0,0.666607625325333,0
28,0,33,4,5,82,2,1,1,759.42,0,0.7494503801838852,3
9,1,36,4,276,35,3,2,1,1389.76,0,0.6850613569309868,1
5,0,38,1,7,30,3,1,1,182.52,0,0.5543357666815635,0
